OrderID,Date,Category,Region,Quantity,UnitPrice,SalesAmount,TargetSales
1,2025-10-16,Electronics,North,5,145,725,1914
2,2024-05-22,Electronics,North,10,236,2360,1130
3,2024-01-31,Electronics,South,4,278,1112,3465
4,2024-01-28,Books,South,9,234,2106,1902
5,2025-04-04,Books,East,1,408,408,4300
6,2024-06-12,Sports,East,5,99,495,1881
7,2024-12-10,Electronics,North,7,69,483,2470
8,2024-12-18,Books,East,1,393,393,2881
9,2025-07-03,Electronics,West,2,302,604,2200
10,2025-10-05,Books,East,10,118,1180,3885
11,2024-03-12,Electronics,South,5,60,300,4503
12,2024-08-26,Electronics,West,5,252,1260,3603
13,2025-01-08,Furniture,East,6,127,762,3745
14,2024-09-30,Electronics,South,9,393,3537,2002
15,2024-06-16,Sports,West,5,493,2465,3621
16,2025-12-05,Books,South,6,451,2706,4147
17,2024-02-27,Furniture,North,6,225,1350,2096
18,2024-03-08,Furniture,East,4,355,1420,3044
19,2025-02-09,Sports,South,5,91,455,2010
20,2025-07-28,Books,East,10,239,2390,4677
21,2025-08-20,Sports,East,4,90,360,3087
22,2025-05-20,Electronics,North,2,98,196,3570
23,2024-06-12,Sports,North,7,215,1505,3440
24,2025-04-24,Books,East,9,460,4140,4860
25,2024-01-12,Electronics,East,6,77,462,2202
26,2025-03-21,Furniture,West,1,389,389,4587
27,2024-09-26,Books,South,9,487,4383,1435
28,2025-10-02,Clothing,South,3,211,633,4123
29,2024-06-14,Books,North,10,185,1850,3001
30,2024-01-20,Electronics,East,5,142,710,1237
31,2024-09-03,Books,North,2,394,788,2990
32,2024-03-11,Books,South,3,357,1071,2946
33,2025-07-16,Furniture,East,9,466,4194,3484
34,2025-03-09,Furniture,South,5,224,1120,3751
35,2025-10-27,Clothing,West,9,251,2259,1495
36,2024-09-10,Furniture,North,6,30,180,3409
37,2025-07-21,Furniture,South,1,56,56,3899
38,2025-10-08,Electronics,South,2,483,966,1128
39,2024-12-04,Electronics,South,5,362,1810,2988
40,2024-08-07,Books,South,10,315,3150,2936
41,2024-09-05,Sports,West,4,68,272,1397
42,2025-11-05,Sports,East,7,230,1610,2912
43,2024-02-25,Electronics,North,7,392,2744,2389
44,2024-04-21,Furniture,South,4,294,1176,2837
45,2024-05-23,Sports,South,5,256,1280,2023
46,2024-03-18,Sports,North,1,353,353,3214
47,2024-01-16,Electronics,South,3,228,684,2989
48,2025-05-07,Furniture,West,1,104,104,2552
49,2024-01-03,Sports,East,8,166,1328,2732
